os,channel,current_version,previous_version,current_reldate,previous_reldate,base_trunk_revision,branch_revision,base_webkit_revision
cf,dev,15.0.874.21,15.0.874.15,09/21/11,09/15/11,99889,101896,94560
cf,beta,14.0.835.186,14.0.835.163,09/20/11,09/14/11,94025,101821,91698
cf,stable,14.0.835.186,14.0.835.163,09/20/11,09/16/11,94025,101821,91698
linux,dev,15.0.874.21,15.0.874.15,09/21/11,09/15/11,99889,101896,94560
linux,beta,14.0.835.186,14.0.835.163,09/20/11,09/14/11,94025,101821,91698
linux,stable,14.0.835.186,14.0.835.163,09/20/11,09/16/11,94025,101821,91698
mac,canary,16.0.889.0,16.0.888.0,09/22/11,09/21/11,102207,NA,95669
mac,dev,15.0.874.21,15.0.874.15,09/21/11,09/15/11,99889,101896,94560
mac,beta,14.0.835.186,14.0.835.163,09/20/11,09/14/11,94025,101821,91698
mac,stable,14.0.835.186,14.0.835.163,09/20/11,09/16/11,94025,101821,91698
win,canary,16.0.888.0,16.0.887.0,09/21/11,09/20/11,102063,NA,95381
win,dev,15.0.874.21,15.0.874.15,09/21/11,09/15/11,99889,101896,94560
win,beta,14.0.835.186,14.0.835.163,09/20/11,09/14/11,94025,101821,91698
win,stable,14.0.835.186,14.0.835.163,09/20/11,09/16/11,94025,101821,91698
cros,dev,15.0.874.23,15.0.874.15,09/22/11,09/16/11,99889,102070,94560
cros,beta,14.0.835.186,14.0.835.163,09/21/11,09/14/11,94025,101821,91698
cros,stable,14.0.835.186,13.0.782.220,09/21/11,09/08/11,94025,101821,91698
